salary_rank,name,team,position,age,salary
132,Blake Treinen,LAD,RP,33,8000000
132,Robbie Ray,TOR,SP,29,8000000
132,Will Harris,WSH,RP,36,8000000
132,Kole Calhoun,ARI,RF,33,8000000
132,Travis d'Arnaud,ATL,C,32,8000000
132,Wade Miley,CIN,SP,34,8000000
132,J.A. Happ,MIN,SP,38,8000000
143,German Marquez,COL,SP,26,7800000
143,Chris Taylor,LAD,2B,30,7800000
145,Trevor May,NYM,RP,31,7750000
145,Felipe Vazquez,PIT,RP/CL,29,7750000
147,Eduardo Escobar,ARI,3B,32,7666668
148,Stephen Piscotty,OAK,RF,30,7583333
149,David Peralta,ARI,LF,33,7500000
150,Tim Anderson,CHW,SS,28,7250000
150,Whit Merrifield,KC,RF,32,7250000
152,Edwin Diaz,NYM,RP/CL,27,7000000
152,Ha-seong Kim,SD,SS,25,7000000
152,Kyle Schwarber,WSH,LF,28,7000000
152,Adam Eaton,CHW,RF,32,7000000
152,Chris Martin,ATL,RP/CL,35,7000000
152,Mike Minor,KC,SP,33,7000000
152,Carlos Santana,KC,1B,35,7000000
152,Shogo Akiyama,CIN,CF,33,7000000
152,Yoshitomo Tsutsugo,TB,OF,29,7000000
161,Mark Canha,OAK,LF,32,6925000
162,Yoan Moncada,CHW,3B,26,6800000
163,Andrew Heaney,LAA,SP,30,6750000
164,Josh Hader,MIL,RP/CL,27,6675000
165,Willson Contreras,CHC,C,29,6650000
166,Andrew Benintendi,BOS,LF,26,6600000
167,Matt Boyd,DET,SP,30,6500000
167,Yulieski Gurriel,HOU,1B,37,6500000
167,Lance McCullers,HOU,SP,27,6500000
167,Max Kepler,MIN,RF,28,6500000
171,Matt Chapman,OAK,3B,28,6490000
172,Gary Sanchez,NYY,C,28,6350000
172,Josh Bell,WSH,1B,28,6350000
174,Dansby Swanson,ATL,SS,27,6300000
175,Christian Vazquez,BOS,C,30,6250000
176,Joey Gallo,TEX,RF,27,6200000
177,Jose Berrios,MIN,SP,27,6100000
178,Dellin Betances,NYM,RP,33,6000000
178,Jon Gray,COL,SP,29,6000000
178,Anthony DeSclafani,SF,SP,31,6000000
178,Starlin Castro,WSH,2B,31,6000000
178,Yan Gomes,WSH,C,33,6000000
178,Daniel Hudson,WSH,RP,34,6000000
178,Ketel Marte,ARI,2B,27,6000000
178,Archie Bradley,PHI,RP,28,6000000
178,Taylor Rogers,MIN,RP/CL,30,6000000
187,Sean Manaea,OAK,SP,29,5950000
188,Roberto Perez,CLE,C,32,5500000
188,Kirby Yates,TOR,RP/CL,34,5500000
190,Corey Knebel,LAD,RP,29,5250000
190,Marco Gonzales,SEA,SP,29,5250000
192,Steven Matz,TOR,SP,30,5200000
193,Byron Buxton,MIN,CF,27,5125000
194,Kyle Freeland,COL,SP,28,5025000
195,Cesar Hernandez,CLE,2B,31,5000000
195,Robbie Grossman,DET,LF,31,5000000
195,Miguel Rojas,MIA,SS,32,5000000
195,Matt Olson,OAK,1B,27,5000000
195,Hector Neris,PHI,RP/CL,32,5000000
195,Ronald Acuna,ATL,RF,23,5000000
201,Chris Bassitt,OAK,SP,32,4900000
202,Rhys Hoskins,PHI,1B,28,4800000
203,Trey Mancini,BAL,DH,29,4750000
203,Pedro Baez,HOU,RP,33,4750000
205,Brandon Nimmo,NYM,CF,28,4700000
205,Luke Voit,NYY,1B,30,4700000
207,Giovanny Urshela,NYY,3B,29,4650000
208,Rafael Devers,BOS,3B,24,4575000
209,Jose Leclerc,TEX,RP/CL,27,4500000
209,Matt Barnes,BOS,RP/CL,31,4500000
209,Martin Perez,BOS,SP,30,4500000
212,Joe Musgrove,SD,SP,28,4450000
212,Zach Eflin,PHI,SP,27,4450000
214,Michael Lorenzen,CIN,SP,29,4437500
215,Jesus Aguilar,MIA,1B,31,4350000
216,Jorge Polanco,MIN,SS,27,4333334
217,Jurickson Profar,SD,2B,28,4333333
217,Eloy Jimenez,CHW,DH,24,4333333
219,Teoscar Hernandez,TOR,DH,28,4325000
220,Adam Frazier,PIT,2B,29,4300000
221,Merrill Kelly,ARI,SP,32,4250000
221,Scott Kingery,PHI,2B,27,4250000
223,Dinelson Lamet,SD,SP,28,4200000
223,Luis Castillo,CIN,SP,28,4200000
225,Tucker Barnhart,CIN,C,30,4187500
226,Paul DeJong,STL,SS,27,4166666
227,Lucas Giolito,CHW,SP,26,4150000
228,Mychal Givens,COL,RP,31,4050000
229,Craig Stammen,SD,RP,37,4000000
229,Scott Oberg,COL,RP,31,4000000
229,Gleyber Torres,NYY,SS,24,4000000
229,Jake Diekman,OAK,RP/CL,34,4000000
229,Pedro Leon,HOU,OF,0,4000000
229,Joe Smith,HOU,RP,37,4000000
